date,daily_pnl_atr
2025-01-02,13.873294038554445
2025-01-03,19.662188646125916
2025-01-06,14.990902178175777
2025-01-07,9.413602483166354
2025-01-08,11.943754562607172
2025-01-09,0.0
2025-01-10,11.148397813522667
2025-01-13,10.104476206293043
2025-01-14,36.82053531892308
2025-01-15,18.465452592455584
2025-01-16,7.377120315568032
2025-01-17,13.126510136845498
2025-01-20,0.0
2025-01-21,11.55186130820098
2025-01-22,17.860898056897646
2025-01-23,13.727206866023472
2025-01-24,6.8734127027353376
2025-01-27,10.2087095647343
2025-01-28,20.487092833574284
2025-01-29,8.905765286134585
2025-01-30,26.43379919103364
2025-01-31,16.21534645074808
2025-02-03,12.917887731473732
2025-02-04,18.163178265631384
2025-02-05,13.76501364105596
2025-02-06,17.641391844812418
2025-02-07,10.211929507297361
2025-02-10,10.929797433031299
2025-02-11,20.011645302616277
2025-02-12,12.237965682835554
2025-02-13,23.25664437962027
2025-02-14,11.606165214622111
2025-02-17,0.0
2025-02-18,12.43669147124847
2025-02-19,11.94453942585557
2025-02-20,15.383821529944312
2025-02-21,8.326403024694931
2025-02-24,5.384819295871574
2025-02-25,15.0779055848605
2025-02-26,14.72551402465909
2025-02-27,10.306497770492609
2025-02-28,14.811729340382659
2025-03-03,15.149036740902558
2025-03-04,14.493563237273472
2025-03-05,11.22206673402292
2025-03-06,5.987294443063613
2025-03-07,14.85477940247349
2025-03-10,4.636555731193655
2025-03-11,12.707462640395702
2025-03-12,13.012445307481721
2025-03-13,8.061879788779509
2025-03-14,17.999582394508437
2025-03-17,19.31933402492985
2025-03-18,4.296561850819765
2025-03-19,15.523097433932483
2025-03-20,7.726964078840428
2025-03-21,18.027310060799113
2025-03-24,19.68987170741853
2025-03-25,9.782021746816628
2025-03-26,6.894672720622488
2025-03-27,12.13158816879486
2025-03-28,4.808713353764007
2025-03-31,12.80503649712472
2025-04-01,13.94932189682757
2025-04-02,12.69572289580089
2025-04-03,6.0532954647534005
2025-04-04,6.107952194473131
2025-04-07,9.08664085022201
2025-04-08,12.238267165802492
2025-04-09,10.723078291235458
2025-04-10,5.498507154873846
2025-04-11,5.223245197567641
2025-04-14,15.31578522367402
2025-04-15,7.127230019268505
2025-04-16,9.575361645160994
2025-04-17,8.13813822925876
2025-04-18,0.0
2025-04-21,16.053074482619756
2025-04-22,25.00881969586551
2025-04-23,11.426237001129682
2025-04-24,15.8577072800547
2025-04-25,19.883009889968708
2025-04-28,16.44610417173834
2025-04-29,12.671334895118708
2025-04-30,17.101931942458474
2025-05-01,24.636592923143052
2025-05-02,12.765005501789682
2025-05-05,9.370583657792103
2025-05-06,13.254141559943417
2025-05-07,16.63641681706121
2025-05-08,22.054458387241866
2025-05-09,12.616190384621708
2025-05-12,18.016916489612644
2025-05-13,16.350101702546702
2025-05-14,7.16211763995801
2025-05-15,13.633583735556153
2025-05-16,11.069865218754659
2025-05-19,11.118289214411806
2025-05-20,26.099585071847656
2025-05-21,13.06071725212069
2025-05-22,6.8219805716018325
2025-05-23,8.910441236130056
2025-05-26,0.0
2025-05-27,25.559178561858204
2025-05-28,9.161807121804769
2025-05-29,9.747002812287771
2025-05-30,22.07721799775752
2025-06-02,18.518169902078473
2025-06-03,14.152328656778652
2025-06-04,7.150219596138742
2025-06-05,21.907135423696925
2025-06-06,16.034033896634256
2025-06-09,12.810624095590326
2025-06-10,16.94876323823866
2025-06-11,12.278776990527087
2025-06-12,35.002884771199355
2025-06-13,12.024501677537435
2025-06-16,9.986110758700729
2025-06-17,3.856304407227559
2025-06-18,9.378229134290017
2025-06-19,0.0
2025-06-20,15.078945694204037
2025-06-23,22.604116579216623
2025-06-24,17.604576118056354
2025-06-25,8.49855270017392
2025-06-26,15.247221991296296
2025-06-27,15.689403103211111
2025-06-30,14.451531356775503
2025-07-01,7.7191878220515955
2025-07-02,12.296260635704447
2025-07-03,11.87264080465699
2025-07-04,0.0
2025-07-07,4.211691317800635
2025-07-08,18.937134112155125
2025-07-09,18.00537507256453
2025-07-10,12.405793728254405
2025-07-11,11.033062841143844
2025-07-14,10.098816522374255
2025-07-15,7.519183230829754
2025-07-16,11.70911126567967
2025-07-17,12.104158750830878
2025-07-18,6.533614814579042
2025-07-21,14.290535409165258
