strategy,params,n,ev_atr,wr,sharpe
bracket_best,"off=0.05,tp=2.0,sl=0.5",21762,0.0274582409753542,0.2331127653708299,0.4149977320936938
straddle_best,"sl=0.3,ta=0.3,td=0.2",21762,0.24972234916316585,0.8564010660784854,11.189163095172466
