variant,n,ev,wr,std
QQQ:orig,8325,0.25248336469676885,0.8621021021021021,0.3777762445514475
QQQ:pess,8074,-0.0043237193799022765,0.5262571216249691,0.4596489778210961
QQQ:cons,8402,0.12882673812965906,0.6462746965008331,0.32459101396716356
SPY:orig,8057,0.25009824695885974,0.8479582971329279,0.3771854810271664
SPY:pess,7805,-0.015615662890665868,0.5091607943625881,0.45358690517417743
SPY:cons,8104,0.1235067111159899,0.6257403751233959,0.32072923604132336
all:orig,16382,0.2513103153978839,0.8551458918324991,0.37747617239040043
all:pess,15879,-0.009874044910572331,0.5178537691290384,0.4566998631707314
all:cons,16506,0.1262147486156172,0.6361928995516781,0.32270194895796367
