entry_idx,exit_idx,total_pnl_atr,long_pnl,short_pnl,holding_bars,entry_time,exit_time,symbol,gate_prob,date,pnl_after_cost
318,319,0.5203745947893766,0.4961219834315525,0.5446272061472008,1,2025-01-02 14:49:00,2025-01-02 14:50:00,QQQ,0.8108108043670654,2025-01-02,0.48037459478937666
322,323,0.4875316743930779,-0.299999999999937,1.2750633487860927,1,2025-01-02 14:53:00,2025-01-02 14:54:00,QQQ,0.4174528121948242,2025-01-02,0.4475316743930779
350,351,0.5893905904641747,0.8525207872856162,0.3262603936427333,1,2025-01-02 15:21:00,2025-01-02 15:22:00,QQQ,0.550000011920929,2025-01-02,0.5493905904641747
355,356,0.0749644847557209,0.44992896951137507,-0.29999999999993326,1,2025-01-02 15:26:00,2025-01-02 15:27:00,QQQ,0.408713698387146,2025-01-02,0.0349644847557209
378,379,0.07596800856834415,0.4519360171367069,-0.3000000000000186,1,2025-01-02 15:49:00,2025-01-02 15:50:00,QQQ,0.408713698387146,2025-01-02,0.03596800856834415
397,398,0.23639510393742655,0.7727902078749358,-0.3000000000000827,1,2025-01-03 09:38:00,2025-01-03 09:39:00,QQQ,0.536796510219574,2025-01-03,0.19639510393742654
399,400,0.27356893387791376,0.15517670040834494,0.39196116734748254,1,2025-01-03 09:40:00,2025-01-03 09:41:00,QQQ,0.8108108043670654,2025-01-03,0.23356893387791375
402,403,-0.0041077183830449115,0.29178456323395807,-0.3000000000000479,1,2025-01-03 09:43:00,2025-01-03 09:44:00,QQQ,0.504273533821106,2025-01-03,-0.04410771838304491
404,405,0.2715629477355298,0.2394372213470193,0.30368867412404027,1,2025-01-03 09:45:00,2025-01-03 09:46:00,QQQ,0.4319654703140259,2025-01-03,0.2315629477355298
407,408,0.5368884672719776,0.25737904865153766,0.8163978858924176,1,2025-01-03 09:48:00,2025-01-03 09:49:00,QQQ,0.5859213471412659,2025-01-03,0.4968884672719776
420,421,0.3906483182722035,0.14137013011374838,0.6399265064306586,1,2025-01-03 10:01:00,2025-01-03 10:02:00,QQQ,0.408713698387146,2025-01-03,0.3506483182722035
