sl,ta,td,symbol,n,ev,wr,std,ambig_pct,avg_hold
1.0,1.0,0.2,QQQ,5847,0.12373151155733586,0.6150162476483667,0.47617676314855417,0.0061570035915854285,3.0730289037113048
1.0,1.0,0.2,SPY,5706,0.1244636999748267,0.6307395723799509,0.39818452184273034,0.006834910620399579,3.059060637924991
1.0,1.5,0.2,QQQ,4638,0.13263964284035454,0.8068132815868909,0.7447675450834609,0.00646830530401035,5.5
1.0,1.5,0.2,SPY,4500,0.12136174968928562,0.8055555555555556,0.6753749217105269,0.007333333333333333,5.571777777777778
1.5,1.5,0.2,QQQ,4432,0.1542172168022927,0.6225180505415162,0.5997296979340313,0.002256317689530686,6.195848375451264
1.5,1.5,0.2,SPY,4329,0.14737576439311417,0.6292446292446292,0.47124461877384743,0.001617001617001617,6.216216216216216
