sl,trail_act,trail_dist,n,ev,wr,sharpe
0.3,0.3,0.2,21762,0.24972234916316585,0.8564010660784854,11.189163095172466
0.5,0.3,0.2,21762,0.21234019325791229,0.750206782464847,9.29619329370854
0.7,0.3,0.2,21762,0.19870700328892654,0.6870232515393806,7.918405497969167
0.3,0.5,0.2,21762,0.1958007197361784,0.8852127561804981,8.157811117446919
1.0,0.3,0.2,21762,0.19450393043553357,0.6560977851300432,6.986199016983926
0.3,0.3,0.3,21762,0.1875288564541344,0.7633030052384892,8.525194573010364
0.5,0.5,0.2,21762,0.16607296222734286,0.6927212572373863,7.197766089383555
1.0,0.5,0.2,21762,0.16178891410986884,0.5146585791747083,5.079417582992153
0.7,0.5,0.2,21762,0.15917841906331048,0.5779799650767393,5.817144257332525
0.3,0.5,0.3,21762,0.14888867121122792,0.7368348497380756,6.373842138141545
0.5,0.3,0.3,21762,0.14638096210572324,0.6674937965260546,6.547754593622362
0.3,0.8,0.2,21762,0.14126627797357208,0.6449774836871611,5.019618558271672
1.0,0.8,0.2,21762,0.13863921952931116,0.4899365867107803,4.581397741982331
1.0,1.0,0.2,21762,0.1316181921040058,0.6229206874368165,5.051795901354715
0.7,0.8,0.2,21762,0.13066429879560873,0.7474037312746991,4.674309068849629
0.5,0.8,0.2,21762,0.12855507665343519,0.8040161749839169,4.473326080346044
0.7,0.3,0.3,21762,0.12826748539838662,0.6278375149342891,5.24743486945877
0.3,1.0,0.2,21762,0.12098845056268782,0.5368991820604724,3.9402033901202125
0.7,1.0,0.2,21762,0.1207999059651416,0.8370094660417241,3.6518391349681933
1.0,0.3,0.3,21762,0.11851639337088746,0.6272860950280306,4.3943729031045615
0.5,1.0,0.2,21762,0.11500852635503575,0.6986490212296664,3.5335773033994986
0.5,0.5,0.3,21762,0.1129160832640134,0.5622185460895138,4.945799793563745
0.3,0.8,0.3,21762,0.10867791606650586,0.6449774836871611,4.02361530970335
0.7,0.5,0.3,21762,0.09999038487527759,0.49145299145299143,3.729209194256177
1.0,0.5,0.3,21762,0.09534281540570692,0.4745887326532488,3.080961499801536
0.3,1.0,0.3,21762,0.09400563648309931,0.5368991820604724,3.1934119670628847
0.5,0.8,0.3,21762,0.08799180435210392,0.8039702233250621,3.159241819634948
0.7,0.8,0.3,21762,0.08318300425367511,0.5906626229206874,3.0190247466702305
1.0,0.8,0.3,21762,0.08304515961654776,0.40786692399595625,2.794047341129654
1.0,1.0,0.3,21762,0.0813970869369553,0.4889256502159728,3.1297626096104345
0.5,1.0,0.3,21762,0.07994072690704802,0.6986490212296664,2.545314472663931
0.7,1.0,0.3,21762,0.07880029877889488,0.8370094660417241,2.4424012881090644
0.3,0.3,0.5,21762,0.06727931868227281,0.5049627791563276,3.1248931435546363
0.3,0.5,0.5,21762,0.055782706699546505,0.49710504549214224,2.508269013195212
0.3,0.8,0.5,21762,0.04417783082194829,0.6449315320283062,1.7743983794623273
0.3,1.0,0.5,21762,0.04063539298307777,0.5368991820604724,1.5034915960574171
0.5,0.3,0.5,21762,0.018828368300582404,0.41328921974083266,0.8729361552422177
0.5,1.0,0.5,21762,0.01064216592564466,0.6986490212296664,0.36397280846200497
0.5,0.8,0.5,21762,0.007700268441391858,0.5095579450418161,0.29395907264827287
0.5,0.5,0.5,21762,0.007689114993174523,0.37312746990166346,0.34289850802767896
0.7,1.0,0.5,21762,-0.004039000883301064,0.5242165242165242,-0.13145720323057797
0.7,0.3,0.5,21762,-0.007917452547909466,0.39798731734215603,-0.33970785135817405
0.7,0.8,0.5,21762,-0.010671111507229731,0.366923995956254,-0.39802316690776685
0.7,0.5,0.5,21762,-0.017020380249649896,0.37064608032349966,-0.6582838931118703
1.0,1.0,0.5,21762,-0.017653043016561086,0.29620439297858653,-0.6809813700313769
1.0,0.8,0.5,21762,-0.02682127298481508,0.2894494991269185,-0.9341700779927696
1.0,0.3,0.5,21762,-0.028548615392460265,0.4278558955978311,-1.1269229983419278
1.0,0.5,0.5,21762,-0.036009708719250175,0.41627607756640017,-1.229997755546883
