entry_time,n,ev,total,wr
2025-01,1102,0.27149757400392005,299.1903265523199,0.8611615245009074
2025-02,983,0.2636210991566694,259.13954047100606,0.8646998982706002
2025-03,1012,0.2461757293122114,249.12983806395795,0.8616600790513834
2025-04,1028,0.24920307936563482,256.1807655878726,0.8618677042801557
2025-05,1140,0.27203701215600135,310.1221938578415,0.8377192982456141
2025-06,1126,0.2657392807207567,299.22243009157205,0.8525754884547069
2025-07,1005,0.2651600425420251,266.4858427547352,0.8507462686567164
2025-08,1029,0.26327935550972587,270.9144568195079,0.8483965014577259
2025-09,996,0.2672890232727868,266.21986717969565,0.8624497991967871
2025-10,1213,0.23679717078765877,287.2349681654301,0.8590272052761748
2025-11,1006,0.22993267810595977,231.31227417459553,0.8578528827037774
2025-12,1073,0.2174317551761951,233.30427330405732,0.8359739049394221
2026-01,1023,0.23669613100503467,242.14014201815047,0.8465298142717498
2026-02,875,0.20605731003610236,180.30014628158958,0.8411428571428572
2026-03,1002,0.263738474717041,264.2659516664751,0.8832335329341318
2026-04,769,0.2624220674373561,201.8025698593268,0.8595578673602081
