sl,ta,td,quarter,n,ev,wr,std,ambig_pct,avg_hold
1.0,1.0,0.2,2025Q1,2225,0.12220369826037977,0.635056179775281,0.3861924194800953,0.005393258426966292,2.9559550561797754
1.0,1.0,0.2,2025Q2,2328,0.12299191784253453,0.6116838487972509,0.4844942523496304,0.009879725085910653,3.018470790378007
1.0,1.0,0.2,2025Q3,2189,0.13345530434235892,0.6235724074920055,0.41967766030357456,0.006852444038373686,2.9808131566925535
1.0,1.0,0.2,2025Q4,2248,0.10411763648369453,0.623220640569395,0.31266650318513334,0.004448398576512456,3.1445729537366547
1.0,1.0,0.2,2026Q1,2055,0.11957169909178753,0.610705596107056,0.4412425007387949,0.00583941605839416,3.175669099756691
1.0,1.0,0.2,2026Q2,508,0.20375916754123288,0.6633858267716536,0.8223324387723401,0.005905511811023622,3.344488188976378
1.0,1.5,0.2,2025Q1,1772,0.11753580538747145,0.8081264108352144,0.6387672562173964,0.006207674943566591,5.242663656884876
1.0,1.5,0.2,2025Q2,1806,0.13749221774522016,0.8045404208194906,0.7576209390421169,0.009413067552602437,5.543743078626799
1.0,1.5,0.2,2025Q3,1786,0.1296423775833198,0.8090705487122061,0.6766098745665001,0.007278835386338186,5.278275475923852
1.0,1.5,0.2,2025Q4,1738,0.09719407022389484,0.7899884925201381,0.6832143247217607,0.004602991944764097,5.806098964326813
1.0,1.5,0.2,2026Q1,1640,0.12966909678860772,0.8140243902439024,0.6966365762460832,0.007317073170731708,5.763414634146342
1.0,1.5,0.2,2026Q2,396,0.23132385241067532,0.8308080808080808,1.0508446801454416,0.005050505050505051,5.833333333333333
1.5,1.5,0.2,2025Q1,1708,0.13786055899553387,0.6440281030444965,0.4275105440887094,0.00351288056206089,5.823770491803279
1.5,1.5,0.2,2025Q2,1739,0.17028586593891665,0.6250718803910293,0.6080757186801447,0.0005750431282346176,6.107533064979873
1.5,1.5,0.2,2025Q3,1711,0.15302361358065739,0.6165984804208066,0.546220227379913,0.0023378141437755697,5.962010520163647
1.5,1.5,0.2,2025Q4,1662,0.1332894016238751,0.6299638989169675,0.4085915343715887,0.0018050541516245488,6.566787003610108
1.5,1.5,0.2,2026Q1,1562,0.14171745417611004,0.6081946222791293,0.5388585127240862,0.0019206145966709346,6.540973111395647
1.5,1.5,0.2,2026Q2,379,0.2247345159233129,0.6437994722955145,0.970348449396002,0.0,6.517150395778364
