gate_variant,mask_rate,mask_n,threshold,n,ev,wr,std,ambig,avg_hold,ev_cost
current_gate(L2_trade_gate),0.08715118700541441,21762,,11553,0.1240931377245827,0.6227819613953086,0.43937141736555496,0.006491820306413918,3.0661300095213364,0.08409313772458271
l1b_only(l1b_edge_pred),0.08715118700541441,21762,1.0310939216132162,12268,0.16935988959133877,0.6344962504075644,0.6840118378704287,0.006847081838930551,2.967231822627975,0.12935988959133876
l1a_only(l1a_vol_forecast),0.10315413449524237,25758,0.92578125,7779,0.1375521328539251,0.6421133821827999,0.6013239358659763,0.008227278570510348,2.679521789433089,0.09755213285392508
