offset,tp,sl,n,ev,wr,sharpe,tp_rate,sl_rate,timeout_rate,no_trigger_rate
0.05,2.0,0.5,21762,0.0274582409753542,0.2331127653708299,0.4149977320936938,0.22819593787335724,0.7663358147229115,0.005468247403731275,0.0
0.05,2.0,0.22,21762,0.02741792145510975,0.13445455380939253,0.5761206378964969,0.13344361731458507,0.8655454461906075,0.0010109364948074626,0.0
0.05,2.0,0.15,21762,0.02569199805027482,0.10532120209539564,0.619345859257491,0.10463192721257238,0.8946787979046044,0.0006892748828232699,0.0
0.05,2.0,0.3,21762,0.024415478801579613,0.16363385718224427,0.45716000480598673,0.1617957908280489,0.8362282878411911,0.0019759213307600403,0.0
0.05,1.5,0.22,21762,0.019059356841826688,0.16809116809116809,0.4704734715939962,0.16799926477345833,0.8319088319088319,9.190331770976932e-05,0.0
0.05,1.5,0.5,21762,0.01843779558648551,0.28448671997059094,0.3246016141196808,0.28375149342891276,0.7154213767116993,0.0008271298593879239,0.0
0.05,1.5,0.3,21762,0.018387568308117858,0.20476059185736606,0.4020107399198808,0.20448488190423675,0.7952394081426339,0.00027570995312930797,0.0
0.05,1.5,0.15,21762,0.01828646264130135,0.13229482584321295,0.5192643488018005,0.13229482584321295,0.867705174156787,0.0,0.0
0.05,1.2,0.22,21762,0.015123963131825298,0.20080874919584596,0.42207475770786945,0.20076279753699108,0.799191250804154,4.595165885488466e-05,0.0
0.05,1.2,0.15,21762,0.014640198511166241,0.15899273963790092,0.4707875273143917,0.15899273963790092,0.841007260362099,0.0,0.0
0.05,1.2,0.3,21762,0.014022542017582735,0.24271666207150078,0.3461812566461621,0.24262475875379103,0.7572833379284992,9.190331770976932e-05,0.0
0.05,1.2,0.5,21762,0.012772387661774055,0.331081702049444,0.2534670385933839,0.3309438470728793,0.6688723462917011,0.00018380663541953864,0.0
0.05,1.0,0.22,21762,0.007838433967466205,0.2277364212848084,0.2432040043630481,0.2277364212848084,0.7722635787151916,0.0,0.0
0.05,1.0,0.15,21762,0.007678522194651224,0.18059001929969673,0.2755386822008848,0.18059001929969673,0.8194099807003032,0.0,0.0
0.05,1.0,0.3,21762,0.006750298685782543,0.2744233066813712,0.1847258822156578,0.2744233066813712,0.7255766933186288,0.0,0.0
0.05,1.0,0.5,21762,0.0049538762561044895,0.3699568054406764,0.10859227493692251,0.3699568054406764,0.6299972429004687,4.595165885488466e-05,0.0
0.05,0.8,0.15,21762,-0.000151640474221116,0.21036669423766197,-0.006217139022378531,0.21036669423766197,0.789633305762338,0.0,0.0
0.05,0.8,0.22,21762,-0.001712158808933015,0.2630272952853598,-0.060522663463515786,0.2630272952853598,0.7369727047146402,0.0,0.0
0.05,0.8,0.3,21762,-0.0019345648377906476,0.3164231228747358,-0.060029273454487025,0.3164231228747358,0.6835768771252643,0.0,0.0
0.05,0.8,0.5,21762,-0.002311081008852758,0.42128480838158255,-0.05715556547815423,0.42128480838158255,0.5786692399595625,4.595165885488466e-05,0.0
0.1,2.0,0.5,21762,-0.010611795215605279,0.23779983457402812,-0.15925755454722404,0.23288300707655546,0.7615568422020035,0.005560150721441044,0.0
0.1,1.5,0.5,21762,-0.017059354884679318,0.29183898538737246,-0.2981303460408106,0.290828048892565,0.7080691112949178,0.0011028398125172319,0.0
0.1,2.0,0.3,21762,-0.021880342511976868,0.16515026192445548,-0.40802517642175873,0.16345005054682474,0.8347118830989799,0.0018380663541953865,0.0
0.1,1.2,0.5,21762,-0.024406830282757325,0.33861777410164506,-0.4816290911654259,0.3385258707839353,0.6613822258983549,9.190331770976932e-05,0.0
0.1,2.0,0.22,21762,-0.027207607292195603,0.1323867291609227,-0.5755637830276458,0.13132984100726036,0.8675673191802225,0.0011028398125172319,0.0
0.1,1.5,0.3,21762,-0.029980871514868144,0.20567962503446374,-0.6544098167816175,0.20540391508133443,0.7943203749655362,0.00027570995312930797,0.0
0.1,1.0,0.5,21762,-0.031899641577060926,0.37873357228195936,-0.6959675163327251,0.37873357228195936,0.6212664277180406,0.0,0.0
0.05,0.5,0.15,21762,-0.03336320191158901,0.25636430475140154,-1.8661465478071442,0.25636430475140154,0.7436356952485985,0.0,0.0
0.1,1.2,0.3,21762,-0.03450428794803868,0.24368164690745336,-0.8506325272034043,0.24363569524859846,0.7563183530925467,4.595165885488466e-05,0.0
0.1,1.5,0.22,21762,-0.03676258408396495,0.1647366969947615,-0.9149313640998841,0.16459884201819686,0.8352633030052385,0.00013785497656465398,0.0
0.05,0.5,0.5,21762,-0.03694972888521278,0.5130502711147873,-1.1735173142709998,0.5130502711147873,0.48694972888521276,0.0,0.0
0.05,0.5,0.22,21762,-0.03747725392886685,0.3229482584321294,-1.7670878144671431,0.3229482584321294,0.6770517415678706,0.0,0.0
0.05,0.5,0.3,21762,-0.03921974083264404,0.38847532395919493,-1.5967109035955158,0.38847532395919493,0.6115246760408051,0.0,0.0
0.1,1.2,0.22,21762,-0.0403594483193281,0.19694880985203567,-1.1345922109689737,0.19690285819318076,0.8030511901479643,4.595165885488466e-05,0.0
0.1,0.8,0.5,21762,-0.0408602150537634,0.43010752688172044,-1.0077958931459385,0.43010752688172044,0.5698924731182796,0.0,0.0
0.1,1.0,0.3,21762,-0.04103942652329748,0.2761235180590019,-1.1209190987442432,0.2761235180590019,0.7238764819409981,0.0,0.0
0.1,1.0,0.22,21762,-0.04619795974634685,0.2244279018472567,-1.4408332525544314,0.2244279018472567,0.7755720981527433,0.0,0.0
0.1,0.8,0.3,21762,-0.051378549765646514,0.3169285911221395,-1.5935865768844817,0.3169285911221395,0.6830714088778604,0.0,0.0
0.1,0.8,0.22,21762,-0.05536807278742762,0.2594430658946788,-1.9658901446635186,0.2594430658946788,0.7405569341053212,0.0,0.0
0.15,2.0,0.5,21762,-0.06207692760172329,0.2372484146677695,-0.9325613079713383,0.23210182887602243,0.7619704071316975,0.005927763992280122,0.0
0.15,1.5,0.5,21762,-0.06995981916256995,0.29036853230401616,-1.2244455419591505,0.28940354746806357,0.7094476610605643,0.0011487914713721166,0.0
0.1,0.5,0.5,21762,-0.07445087767668412,0.5255491223233159,-2.366834044358709,0.5255491223233159,0.47445087767668415,0.0,0.0
0.15,1.2,0.5,21762,-0.07536192420727075,0.33806635419538644,-1.4878106276081653,0.3379284992188218,0.6618876941457587,0.00018380663541953864,0.0
0.1,2.0,0.15,21762,-0.07774885996749598,0.08036945133719327,-2.1164317068367313,0.07977207977207977,0.9196305486628067,0.0005973715651135006,0.0
0.15,2.0,0.3,21762,-0.08130040020983077,0.1611984192629354,-1.5317636135689763,0.15917654627332048,0.8387556290782098,0.0020678246484698098,0.0
