entry_idx,exit_idx,total_pnl_atr,symbol,variant,move_atr
1794,1795,0.29995993149069794,QQQ,orig,
1796,1797,0.12044524182537553,QQQ,orig,
1798,1799,0.22854249628269727,QQQ,orig,
1803,1804,0.2385893666444853,QQQ,orig,
1807,1808,0.4558437294814446,QQQ,orig,
1850,1851,-0.007837640915737881,QQQ,orig,
1857,1858,0.03372742953221672,QQQ,orig,
1956,1957,0.732090545938707,QQQ,orig,
2009,2010,0.19647840160738136,QQQ,orig,
2011,2012,0.2182656081217647,QQQ,orig,
2013,2014,0.07035610109760573,QQQ,orig,
2019,2020,-0.02453845420096215,QQQ,orig,
2027,2028,-0.06490409449358568,QQQ,orig,
2047,2048,0.28569624556802653,QQQ,orig,
2131,2132,-0.07696784748008637,QQQ,orig,
2134,2135,0.45741003117035994,QQQ,orig,
2136,2137,0.5626593072652776,QQQ,orig,
2138,2139,0.26895156561511246,QQQ,orig,
2141,2142,0.22899889231506027,QQQ,orig,
2148,2149,0.10608609641041875,QQQ,orig,
2157,2158,-0.019914704093855845,QQQ,orig,
2173,2174,0.21879787560004035,QQQ,orig,
2187,2188,0.6258925093108745,QQQ,orig,
2214,2215,0.18050871780153868,QQQ,orig,
2217,2218,0.33403092582812655,QQQ,orig,
2229,2230,0.5152412920801768,QQQ,orig,
2269,2270,0.7496057593418504,QQQ,orig,
2345,2346,0.6743256266828743,QQQ,orig,
2408,2409,0.2284786670892168,QQQ,orig,
2412,2413,0.054901031753587876,QQQ,orig,
2414,2415,0.3447971180873596,QQQ,orig,
2418,2419,0.2538689690841417,QQQ,orig,
2485,2486,0.08497246526337487,QQQ,orig,
2508,2509,0.28219797764770743,QQQ,orig,
2515,2516,0.3187085558873832,QQQ,orig,
2517,2518,0.23263299652817507,QQQ,orig,
2548,2549,0.25328814924171916,QQQ,orig,
2551,2552,0.2830490405116354,QQQ,orig,
2553,2554,0.1517243244077965,QQQ,orig,
2716,2717,0.24840027026491124,QQQ,orig,
2722,2723,-0.004472115047425451,QQQ,orig,
2725,2726,0.18336944745392425,QQQ,orig,
2728,2729,0.5992922564529366,QQQ,orig,
2733,2734,0.2905040199986059,QQQ,orig,
2735,2736,0.4609455785939509,QQQ,orig,
2737,2738,0.21962516156831174,QQQ,orig,
2771,2773,0.7256827607054953,QQQ,orig,
2779,2780,0.19051906492374504,QQQ,orig,
2799,2800,0.657738022301191,QQQ,orig,
2877,2878,0.09848121822005076,QQQ,orig,
2880,2881,0.0934753985746585,QQQ,orig,
2948,2949,0.1869992716679332,QQQ,orig,
2951,2952,0.13851164663051957,QQQ,orig,
2961,2962,-0.06764335990597502,QQQ,orig,
2963,2964,0.10209079800339119,QQQ,orig,
2965,2966,0.023782195733140832,QQQ,orig,
2967,2968,0.40071255713914045,QQQ,orig,
2971,2972,0.10262438023607592,QQQ,orig,
2974,2976,0.6025694311229546,QQQ,orig,
2977,2978,0.08645111365332361,QQQ,orig,
2979,2980,0.6336759398838777,QQQ,orig,
3001,3002,0.31912605003751415,QQQ,orig,
3003,3004,0.39734411616050097,QQQ,orig,
3005,3006,0.6077015376410626,QQQ,orig,
3009,3010,0.12886760681969298,QQQ,orig,
